Experiment ID                :  onemax
Problem Type                 :  PD
Data Input File Name         :  NA
Number of Runs               :  50
Generations per Run          :  200
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  1
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  8


 R   2	 G  22	      4	      4.385	      0.242	
 R   2	 G  23	      5	      4.375	      0.245	
 R   2	 G  24	      5	      4.375	      0.244	
 R   2	 G  25	      5	      4.367	      0.241	
 R   2	 G  26	      4	      4.398	      0.225	
 R   2	 G  27	      4	      4.398	      0.237	
 R   2	 G  28	      4	      4.385	      0.238	
 R   2	 G  29	      4	      4.374	      0.247	
 R   2	 G  30	      4	      4.371	       0.23	
 R   2	 G  31	      5	      4.386	      0.225	
 R   2	 G  32	      4	      4.381	      0.242	
 R   2	 G  33	      4	      4.389	      0.232	
 R   2	 G  34	      4	      4.376	      0.231	
 R   2	 G  35	      4	      4.382	       0.24	
 R   2	 G  36	      4	      4.382	      0.233	
 R   2	 G  37	      4	      4.389	      0.228	
 R   2	 G  38	      4	      4.395	      0.232	
 R   2	 G  39	      4	      4.383	      0.221	
 R   2	 G  40	      5	       4.39	      0.241	
 R   2	 G  41	      4	       4.39	      0.237	
 R   2	 G  42	      4	      4.397	      0.228	
 R   2	 G  43	      4	      4.393	       0.23	
 R   2	 G  44	      4	      4.363	      0.253	
 R   2	 G  45	      5	      4.398	      0.212	
 R   2	 G  46	      4	      4.397	       0.23	
 R   2	 G  47	      5	      4.374	       0.23	
 R   2	 G  48	      4	      4.395	      0.225	
 R   2	 G  49	      5	      4.407	      0.228	
 R   2	 G  50	      4	       4.39	      0.231	
 R   2	 G  51	      4	      4.382	      0.241	
 R   2	 G  52	      4	      4.386	      0.238	
 R   2	 G  53	      4	      4.402	      0.232	
 R   2	 G  54	      4	      4.388	      0.233	
 R   2	 G  55	      4	      4.381	      0.239	
 R   2	 G  56	      4	      4.406	      0.214	
 R   2	 G  57	      4	      4.394	      0.237	
 R   2	 G  58	      4	      4.393	      0.229	
 R   2	 G  59	      4	      4.383	      0.243	
 R   2	 G  60	      4	       4.39	      0.234	
 R   2	 G  61	      4	      4.414	      0.214	
 R   2	 G  62	      4	      4.377	      0.249	
 R   2	 G  63	      4	      4.386	      0.241	
 R   2	 G  64	      4	      4.389	      0.246	
 R   2	 G  65	      4	      4.389	      0.237	
 R   2	 G  66	      5	      4.392	      0.238	
 R   2	 G  67	      4	       4.39	      0.241	
 R   2	 G  68	      4	      4.423	      0.248	
 R   2	 G  69	      4	      4.415	      0.243	
 R   2	 G  70	      4	        4.4	      0.242	
 R   2	 G  71	      4	      4.399	      0.237	
 R   2	 G  72	      4	      4.411	      0.238	
 R   2	 G  73	      4	       4.41	      0.237	
 R   2	 G  74	      5	      4.396	      0.243	
 R   2	 G  75	      5	      4.413	       0.24	
 R   2	 G  76	      4	      4.391	      0.241	
 R   2	 G  77	      4	       4.39	      0.238	
 R   2	 G  78	      4	      4.407	      0.244	
 R   2	 G  79	      4	      4.408	      0.228	
 R   2	 G  80	      4	      4.397	      0.244	
 R   2	 G  81	      4	      4.399	      0.234	
 R   2	 G  82	      4	      4.406	      0.236	
 R   2	 G  83	      4	      4.401	      0.235	
 R   2	 G  84	      5	      4.414	      0.235	
 R   2	 G  85	      5	      4.393	      0.252	
 R   2	 G  86	      4	      4.397	      0.238	
 R   2	 G  87	      4	      4.388	      0.256	
 R   2	 G  88	      4	       4.39	      0.235	
 R   2	 G  89	      4	      4.411	      0.227	
 R   2	 G  90	      4	      4.384	      0.237	
 R   2	 G  91	      5	      4.411	      0.226	
 R   2	 G  92	      4	      4.408	      0.246	
 R   2	 G  93	      4	      4.407	      0.238	
 R   2	 G  94	      4	      4.388	      0.245	
 R   2	 G  95	      4	      4.393	      0.243	
 R   2	 G  96	      4	      4.409	      0.241	
 R   2	 G  97	      4	      4.397	      0.237	
 R   2	 G  98	      4	      4.405	      0.245	
 R   2	 G  99	      4	      4.407	      0.239	
 R   2	 G 100	      4	      4.404	      0.236	
 R   2	 G 101	      5	      4.397	      0.234	
 R   2	 G 102	      4	      4.406	      0.242	
 R   2	 G 103	      4	      4.399	      0.234	
 R   2	 G 104	      4	      4.384	      0.239	
 R   2	 G 105	      5	      4.412	      0.247	
 R   2	 G 106	      4	      4.411	      0.239	
 R   2	 G 107	      5	      4.386	      0.239	
 R   2	 G 108	      4	      4.409	      0.242	
 R   2	 G 109	      4	      4.402	      0.235	
 R   2	 G 110	      4	      4.385	      0.252	
 R   2	 G 111	      5	      4.382	      0.242	
 R   2	 G 112	      4	      4.393	      0.239	
 R   2	 G 113	      4	      4.415	      0.231	
 R   2	 G 114	      4	      4.407	      0.237	
 R   2	 G 115	      5	      4.413	      0.238	
 R   2	 G 116	      4	      4.404	      0.246	
 R   2	 G 117	      4	      4.408	      0.238	
 R   2	 G 118	      4	      4.385	      0.246	
 R   2	 G 119	      4	      4.399	      0.235	
 R   2	 G 120	      4	      4.401	      0.255	
 R   2	 G 121	      4	      4.398	      0.233	
 R   2	 G 122	      4	      4.406	      0.237	
 R   2	 G 123	      4	        4.4	      0.238	
 R   2	 G 124	      4	      4.398	      0.241	
 R   2	 G 125	      4	      4.403	      0.249	
 R   2	 G 126	      4	      4.398	       0.24	
 R   2	 G 127	      4	      4.409	      0.235	
 R   2	 G 128	      4	      4.415	      0.234	
 R   2	 G 129	      4	      4.415	      0.251	
 R   2	 G 130	      5	      4.392	      0.254	
 R   2	 G 131	      5	      4.401	      0.241	
 R   2	 G 132	      4	      4.408	      0.239	
 R   2	 G 133	      4	      4.403	       0.23	
 R   2	 G 134	      5	      4.387	      0.249	
 R   2	 G 135	      4	      4.396	      0.234	
 R   2	 G 136	      4	      4.396	      0.253	
 R   2	 G 137	      4	      4.403	      0.249	
 R   2	 G 138	      4	      4.411	      0.254	
 R   2	 G 139	      4	      4.402	      0.236	
 R   2	 G 140	      4	      4.408	      0.249	
 R   2	 G 141	      4	      4.399	      0.246	
 R   2	 G 142	      4	      4.406	      0.234	
 R   2	 G 143	      4	      4.394	      0.243	
 R   2	 G 144	      4	      4.403	      0.236	
 R   2	 G 145	      4	      4.406	      0.241	
 R   2	 G 146	      5	      4.398	      0.237	
 R   2	 G 147	      4	      4.412	       0.24	
 R   2	 G 148	      4	      4.411	      0.238	
 R   2	 G 149	      4	      4.404	      0.255	
 R   2	 G 150	      5	      4.398	      0.234	
 R   2	 G 151	      4	      4.414	      0.235	
 R   2	 G 152	      4	      4.397	      0.244	
 R   2	 G 153	      4	      4.399	      0.243	
 R   2	 G 154	      4	      4.367	      0.253	
 R   2	 G 155	      4	      4.401	      0.245	
 R   2	 G 156	      4	      4.406	      0.249	
 R   2	 G 157	      4	      4.387	      0.256	
 R   2	 G 158	      4	      4.391	      0.244	
 R   2	 G 159	      4	      4.403	      0.236	
 R   2	 G 160	      5	      4.402	       0.24	
 R   2	 G 161	      4	      4.409	      0.257	
 R   2	 G 162	      4	      4.389	      0.237	
 R   2	 G 163	      4	      4.401	      0.243	
 R   2	 G 164	      4	      4.407	      0.229	
 R   2	 G 165	      4	      4.402	      0.238	
 R   2	 G 166	      4	       4.38	      0.248	
 R   2	 G 167	      4	       4.39	      0.225	
 R   2	 G 168	      4	      4.404	      0.241	
 R   2	 G 169	      4	       4.38	      0.239	
 R   2	 G 170	      5	       4.38	      0.253	
 R   2	 G 171	      4	      4.402	      0.228	
 R   2	 G 172	      4	      4.414	      0.222	
 R   2	 G 173	      4	      4.385	      0.246	
 R   2	 G 174	      4	      4.403	      0.241	
 R   2	 G 175	      4	      4.407	       0.24	
 R   2	 G 176	      4	      4.395	      0.228	
 R   2	 G 177	      4	      4.402	       0.25	
 R   2	 G 178	      5	      4.379	      0.244	
 R   2	 G 179	      4	      4.399	      0.239	
 R   2	 G 180	      4	      4.381	      0.241	
 R   2	 G 181	      4	       4.38	      0.254	
 R   2	 G 182	      4	      4.419	      0.233	
 R   2	 G 183	      4	      4.412	      0.237	
 R   2	 G 184	      4	      4.408	      0.241	
 R   2	 G 185	      4	      4.419	       0.23	
 R   2	 G 186	      5	      4.376	      0.235	
 R   2	 G 187	      4	      4.383	      0.243	
 R   2	 G 188	      4	      4.397	      0.238	
 R   2	 G 189	      5	      4.411	      0.241	
 R   2	 G 190	      4	      4.415	      0.237	
 R   2	 G 191	      4	      4.396	      0.248	
 R   2	 G 192	      4	      4.407	      0.231	
 R   2	 G 193	      5	      4.396	      0.236	
 R   2	 G 194	      4	      4.405	      0.236	
 R   2	 G 195	      4	      4.392	      0.245	
 R   2	 G 196	      4	       4.42	      0.234	
 R   2	 G 197	      4	        4.4	      0.241	
 R   2	 G 198	      4	      4.394	       0.24	
 R   2	 G 199	      4	      4.415	      0.236	
2   	  11
First move: 1 
Percent chance: 0.29276552487760327 0.005823224789941414 0.003272978480771058 0.37205705161574676 0.07078696149429674 0.15335673757200058 0.03836795608521798 0.050669220738399384 
   RawFitness:          5.08

 R   3	 G   0	      4	       4.22	      0.296	
 R   3	 G   1	      4	      4.279	      0.259	
 R   3	 G   2	      5	      4.325	      0.276	
 R   3	 G   3	      4	      4.323	      0.268	
 R   3	 G   4	      4	      4.341	      0.261	
 R   3	 G   5	      4	      4.372	      0.246	
 R   3	 G   6	      4	      4.361	      0.239	
 R   3	 G   7	      4	      4.387	      0.247	
 R   3	 G   8	      4	      4.376	      0.244	
 R   3	 G   9	      4	       4.38	      0.244	
 R   3	 G  10	      5	      4.375	      0.251	
 R   3	 G  11	      4	      4.387	       0.24	
 R   3	 G  12	      4	      4.392	      0.238	
 R   3	 G  13	      4	      4.397	      0.241	
 R   3	 G  14	      4	      4.398	      0.239	
 R   3	 G  15	      5	      4.393	      0.243	
 R   3	 G  16	      4	      4.394	      0.231	
 R   3	 G  17	      4	      4.364	      0.245	
 R   3	 G  18	      4	      4.385	      0.245	
 R   3	 G  19	      4	      4.388	       0.24	
 R   3	 G  20	      4	       4.38	      0.235	
 R   3	 G  21	      4	      4.387	      0.241	
 R   3	 G  22	      4	      4.375	      0.245	
 R   3	 G  23	      4	      4.378	      0.237	
 R   3	 G  24	      4	      4.356	       0.23	
 R   3	 G  25	      4	       4.39	      0.224	
 R   3	 G  26	      5	      4.405	      0.232	
 R   3	 G  27	      4	       4.38	      0.235	
 R   3	 G  28	      4	      4.384	      0.243	
 R   3	 G  29	      4	      4.398	      0.228	
 R   3	 G  30	      4	       4.39	      0.234	
 R   3	 G  31	      5	       4.38	      0.254	
 R   3	 G  32	      4	      4.392	      0.224	
 R   3	 G  33	      4	      4.384	      0.228	
 R   3	 G  34	      4	      4.398	      0.223	
 R   3	 G  35	      4	      4.383	      0.243	
 R   3	 G  36	      4	      4.403	       0.23	
 R   3	 G  37	      4	      4.379	      0.234	
 R   3	 G  38	      5	      4.405	      0.228	
 R   3	 G  39	      4	      4.379	      0.232	
 R   3	 G  40	      4	      4.395	      0.225	
 R   3	 G  41	      4	      4.407	      0.228	
 R   3	 G  42	      4	      4.405	      0.227	
 R   3	 G  43	      5	      4.395	       0.23	
 R   3	 G  44	      4	        4.4	      0.239	
 R   3	 G  45	      4	      4.394	      0.241	
 R   3	 G  46	      4	      4.396	      0.239	
 R   3	 G  47	      5	      4.398	      0.216	
 R   3	 G  48	      4	      4.411	      0.232	
 R   3	 G  49	      4	      4.392	      0.227	
 R   3	 G  50	      4	      4.415	      0.236	
 R   3	 G  51	      4	      4.411	      0.221	
 R   3	 G  52	      4	      4.397	      0.234	
 R   3	 G  53	      4	      4.388	      0.228	
 R   3	 G  54	      4	      4.399	      0.237	
 R   3	 G  55	      4	      4.411	      0.221	
 R   3	 G  56	      4	        4.4	       0.23	
 R   3	 G  57	      4	      4.386	      0.233	
 R   3	 G  58	      4	      4.404	      0.215	
 R   3	 G  59	      4	      4.393	       0.23	
 R   3	 G  60	      4	      4.407	      0.233	
 R   3	 G  61	      4	      4.402	      0.221	
 R   3	 G  62	      4	       4.42	      0.222	
 R   3	 G  63	      4	      4.409	      0.223	
 R   3	 G  64	      5	      4.407	      0.234	
 R   3	 G  65	      4	      4.419	      0.221	
 R   3	 G  66	      4	      4.426	      0.217	
 R   3	 G  67	      5	      4.405	      0.228	
 R   3	 G  68	      4	      4.403	      0.236	
 R   3	 G  69	      5	      4.412	      0.218	
 R   3	 G  70	      4	      4.405	      0.217	
 R   3	 G  71	      4	      4.405	      0.215	
 R   3	 G  72	      4	      4.409	      0.222	
 R   3	 G  73	      4	      4.412	      0.223	
 R   3	 G  74	      4	       4.41	      0.226	
 R   3	 G  75	      4	      4.391	       0.23	
 R   3	 G  76	      4	        4.4	      0.218	
 R   3	 G  77	      4	      4.404	      0.215	
 R   3	 G  78	      4	      4.396	      0.229	
 R   3	 G  79	      5	      4.427	       0.22	
 R   3	 G  80	      4	      4.407	      0.226	
 R   3	 G  81	      5	      4.413	      0.219	
 R   3	 G  82	      4	      4.413	      0.206	
 R   3	 G  83	      4	      4.398	       0.22	
 R   3	 G  84	      4	      4.408	      0.207	
 R   3	 G  85	      4	      4.409	      0.217	
 R   3	 G  86	      5	      4.407	      0.224	
 R   3	 G  87	      4	      4.405	      0.223	
 R   3	 G  88	      4	      4.415	      0.221	
 R   3	 G  89	      4	      4.394	      0.237	
 R   3	 G  90	      4	      4.411	      0.226	
 R   3	 G  91	      4	      4.387	      0.224	
 R   3	 G  92	      4	      4.391	      0.235	
 R   3	 G  93	      4	      4.419	      0.196	
 R   3	 G  94	      4	      4.398	      0.217	
 R   3	 G  95	      4	      4.393	      0.223	
 R   3	 G  96	      4	      4.409	      0.229	
 R   3	 G  97	      4	      4.399	      0.225	
 R   3	 G  98	      4	       4.42	       0.22	
 R   3	 G  99	      4	      4.406	      0.218	
 R   3	 G 100	      4	       4.39	      0.222	
 R   3	 G 101	      5	       4.39	      0.227	
 R   3	 G 102	      4	      4.395	      0.226	
 R   3	 G 103	      4	      4.406	      0.218	
 R   3	 G 104	      4	      4.403	      0.223	
 R   3	 G 105	      4	      4.396	       0.23	
 R   3	 G 106	      4	      4.406	      0.211	
 R   3	 G 107	      5	      4.394	      0.216	
 R   3	 G 108	      4	       4.39	      0.241	
 R   3	 G 109	      4	      4.388	      0.204	
 R   3	 G 110	      4	      4.406	      0.223	
 R   3	 G 111	      4	       4.41	      0.228	
 R   3	 G 112	      4	      4.395	      0.225	
 R   3	 G 113	      4	      4.398	      0.228	
 R   3	 G 114	      4	      4.398	      0.218	
 R   3	 G 115	      4	       4.41	      0.227	
 R   3	 G 116	      4	      4.413	      0.219	
 R   3	 G 117	      4	      4.407	      0.233	
 R   3	 G 118	      4	      4.402	      0.211	
 R   3	 G 119	      4	      4.423	       0.21	
 R   3	 G 120	      4	      4.402	       0.23	
 R   3	 G 121	      5	      4.399	      0.221	
 R   3	 G 122	      4	      4.402	      0.222	
 R   3	 G 123	      4	      4.395	      0.233	
 R   3	 G 124	      4	      4.396	      0.221	
 R   3	 G 125	      4	      4.406	      0.212	
 R   3	 G 126	      4	      4.403	      0.225	
 R   3	 G 127	      4	      4.407	      0.224	
 R   3	 G 128	      5	      4.412	      0.221	
 R   3	 G 129	      4	      4.398	      0.217	
 R   3	 G 130	      4	      4.395	      0.228	
 R   3	 G 131	      4	      4.428	      0.199	
 R   3	 G 132	      4	      4.393	      0.224	
 R   3	 G 133	      5	      4.409	      0.212	
 R   3	 G 134	      4	      4.398	      0.229	
 R   3	 G 135	      4	      4.411	      0.236	
 R   3	 G 136	      4	      4.398	      0.216	
 R   3	 G 137	      4	      4.409	      0.228	
 R   3	 G 138	      4	      4.405	      0.222	
 R   3	 G 139	      4	      4.388	       0.23	
 R   3	 G 140	      4	      4.404	      0.225	
 R   3	 G 141	      4	      4.405	      0.216	
 R   3	 G 142	      4	      4.402	      0.231	
 R   3	 G 143	      4	      4.392	      0.229	
 R   3	 G 144	      4	      4.385	      0.244	
 R   3	 G 145	      4	      4.397	      0.222	
 R   3	 G 146	      4	      4.403	      0.224	
 R   3	 G 147	      4	      4.383	      0.214	
 R   3	 G 148	      4	      4.404	      0.223	
